country,year,evsales,evstock,evchargpnt,cpi,gdp,mktcap,totreserves,unemprate,co2emit,lifexpect,pm25exp,renergycon
Austria,2011,0,990,0,104.76914,417.0641249,92.73847,11.47065468,6.72467,71.9557,80.98293,16.36763,31.6
Austria,2012,,1540,,107.37141,419.7847691,72.82167,12.71633901,6.98058,68.8985,80.93659,14.7199,34.4
Austria,2013,0.65,2510,,109.52815,418.5714244,87.86638,12.95905576,7.6148,69.4999,81.13659,14.65995,34.6
Austria,2014,1.706,4183,,111.29,422.2940162,86.04282,14.6015578,8.3653,65.8761,81.49024,12.95415,35.7
Austria,2015,2.804,6506,,112.30255,427.6114684,72.52466,13.13421362,9.10253,67.2562,81.19024,13.59996,34.8
Austria,2016,5,11413,,113.30498,436.9004357,68.32895,13.36365963,9.06341,67.6656,81.64146,12.51438,34.6
Austria,2017,7.102,18919,,115.65411,447.4165073,94.53688,10.34489284,8.51591,69.9541,81.6439,12.15576,34
Austria,2018,9.107,26724,,117.95261,458.0539135,105.94745,12.18405461,7.71178,66.9575,81.69268,12.58619,34.1
Austria,2019,11.519,38041,,119.77521,466.2195987,91.4797,10.35743971,7.35226,68.5563,81.89512,11.46459,34
Austria,2020,23.614,60045,,121.50668,435.7671466,74.12048,14.02739866,9.99632,62.6299,81.19268,10.93351,35.8
Austria,2021,48.014,106055,10500,124.86837,457.63237,109.20573,18.37279736,7.98409,65.554,81.19024,,36
Austria,2022,47.014,152062,15600,135.5407,482.1819623,91.17821,17.52692932,6.28942,61.1745,81.09268,,
Austria,2023,65.009,221089,17500,146.13204,478.1291406,93.98065,13.22335353,6.40874,,,,
Belgium,2011,0.322,435,0,105.05517,506.5497032,93.90413,18.31102318,7.20881,104.2439,80.58537,16.36627,6.7
Belgium,2012,1.17,1521,,108.03838,507.6429709,81.94432,18.99348976,7.63205,102.773,80.38537,15.21501,7.7
Belgium,2013,0.67,2231,377,109.24095,509.193213,99.49884,18.53298783,8.55449,104.1691,80.5878,14.36979,8.3
Belgium,2014,2.053,4272,615,109.61237,518.1834603,115.05664,16.99689873,8.65359,97.4685,81.2878,12.90036,9.1
Belgium,2015,3.97,7777,1377,110.22777,525.8236087,111.54022,16.70677856,8.65577,102.0938,80.99268,13.33904,9.4
Belgium,2016,9.348,17041,1610,112.4035,532.0974616,106.3788,15.44724113,7.85031,101.0047,81.43902,12.3939,9.2
Belgium,2017,14.844,31469,1720,114.79317,539.9435376,121.9099,17.04042598,7.09728,99.4023,81.49268,12.76916,9.7
Belgium,2018,13.49,45229,2940,117.15006,550.0848975,124.20881,17.87236425,5.95855,100.1343,81.59512,12.49259,10.7
Belgium,2019,18.16,61691,6460,118.8333,563.5222571,113.59453,18.22803319,5.36606,100.0509,81.99512,11.21438,10.2
Belgium,2020,47.561,107210,8480,119.7136,536.5121808,108.41227,19.89906399,5.53115,92.3731,80.69512,11.21607,12.3
