"Date","Open","High","Low","Close          Close price adjusted for splits.","Adj Close          Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Dec 1, 2023",75.59,76.76,67.71,71.65,71.65,"5,452,906"
"Nov 1, 2023",81.48,83.6,72.16,75.96,75.96,"6,425,603"
"Sep 1, 2023",83.63,95.03,83.46,90.79,90.79,"6,703,761"
"Aug 1, 2023",81.73,84.89,77.59,83.63,83.63,"7,346,160"
"Jul 1, 2023",70.45,82,69.69,81.8,81.8,"6,301,345"
"Jun 1, 2023",67.6,75.06,66.8,70.64,70.64,"6,857,383"
"May 1, 2023",76.66,76.69,63.64,68.09,68.09,"6,920,662"
"Apr 1, 2023",80.1,83.53,73.93,76.78,76.78,"5,497,349"
"Mar 1, 2023",76.85,80.94,64.12,75.67,75.67,"7,758,732"
"Feb 1, 2023",79.06,80.62,72.25,77.05,77.05,"6,069,523"
"Dec 1, 2022",80.4,83.34,70.08,80.26,80.26,"5,673,808"
"Nov 1, 2022",86.43,93.74,73.6,80.55,80.55,"6,418,409"
"Oct 1, 2022",81.02,93.64,80.87,86.53,86.53,"5,645,391"
"Sep 1, 2022",88.83,90.39,76.25,79.49,79.49,"6,058,680"
"Aug 1, 2022",98.46,98.65,85.73,89.55,89.55,"6,941,741"
"Jul 1, 2022",106.01,111.45,90.56,98.62,98.62,"6,442,224"
"Jun 1, 2022",115.4,123.68,101.53,105.76,105.76,"6,646,137"
"Apr 1, 2022",101.23,109.81,92.93,104.69,104.69,"5,669,971"
"Mar 1, 2022",96.09,130.5,93.53,100.28,100.28,"9,128,833"
"Feb 1, 2022",88.15,100.54,86.55,95.72,95.72,"9,108,602"
"Jan 1, 2022",75.69,88.84,74.27,88.15,88.15,"8,385,229"
"Dec 1, 2021",67.01,77.44,62.43,75.21,75.21,"7,853,281"
"Nov 1, 2021",83.36,84.97,64.43,66.18,66.18,"10,364,108"
"Oct 1, 2021",75.12,85.41,74.23,83.57,83.57,"9,725,158"
"Sep 1, 2021",68.55,76.67,67.12,75.03,75.03,"8,102,078"
"Jul 1, 2021",73.5,76.98,65.21,73.95,73.95,"8,643,164"
"Jun 1, 2021",66.68,74.45,66.41,73.47,73.47,"8,261,945"
"May 1, 2021",63.64,67.52,61.56,66.32,66.32,"8,001,095"
"Apr 1, 2021",59.49,65.47,57.63,63.58,63.58,"8,438,272"
"Mar 1, 2021",61.95,67.98,57.25,59.16,59.16,"10,167,951"
"Feb 1, 2021",51.99,63.81,51.64,61.5,61.5,"8,065,615"
