"Date","Open","High","Low","Close          Close price adjusted for splits.","Adj Close          Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Dec 1, 2023","56.29","62.97","53.97","61.55","60.03","2,075,900"
"Nov 1, 2023","57.05","60.47","55.23","56.80","55.40","2,070,600"
"Oct 1, 2023","66.01","66.07","56.11","57.23","55.82","3,261,100"
"Sep 1, 2023","71.44","73.23","63.93","66.33","64.69","1,749,300"
"Aug 1, 2023","80.60","81.03","69.57","70.64","68.90","2,074,800"
"Jul 1, 2023","83.88","88.48","79.74","81.67","79.65","1,810,500"
"Jun 1, 2023","79.02","87.92","78.81","83.16","81.11","1,495,500"
"May 1, 2023","79.30","86.48","76.85","79.21","77.25","2,817,400"
"Apr 1, 2023","82.01","84.20","76.43","79.51","77.55","5,934,300"
"Mar 1, 2023","86.77","87.79","73.05","81.58","79.57","4,849,400"
"Feb 1, 2023","96.66","98.28","83.58","84.87","82.77","1,410,300"
"Jan 1, 2023","76.90","96.86","74.36","95.26","92.91","1,699,500"
"Dec 19, 2022","1.19 Dividend","1.19 Dividend","1.19 Dividend","1.19 Dividend","1.19 Dividend","1.19 Dividend"
"Dec 1, 2022","94.93","96.43","74.65","76.16","73.21","2,285,400"
"Nov 1, 2022","90.00","100.97","84.35","94.57","90.91","2,461,200"
"Oct 1, 2022","84.13","90.99","78.31","85.47","82.16","2,021,700"
"Sep 1, 2022","95.38","104.13","82.96","83.33","80.10","2,256,200"
"Aug 1, 2022","92.86","105.86","89.95","96.21","92.49","2,462,300"
"Jul 1, 2022","86.69","92.50","77.17","92.50","88.92","1,895,000"
"Jun 1, 2022","98.43","102.61","81.73","86.80","83.44","2,735,500"
"May 1, 2022","95.05","104.65","83.79","101.87","97.93","4,028,600"
"Apr 1, 2022","120.18","127.50","91.35","95.30","91.61","4,488,500"
"Mar 1, 2022","109.89","119.73","95.20","118.28","113.70","3,743,700"
"Feb 1, 2022","103.35","111.60","98.35","110.76","106.47","3,448,400"
"Jan 1, 2022","113.00","117.25","94.40","101.59","97.66","4,773,300"
"Dec 20, 2021","5.89 Dividend","5.89 Dividend","5.89 Dividend","5.89 Dividend","5.89 Dividend","5.89 Dividend"
"Dec 1, 2021","123.76","125.38","102.23","112.19","102.23","3,673,500"
"Nov 1, 2021","117.88","126.01","113.67","122.87","111.97","4,231,800"
"Oct 1, 2021","103.79","119.83","98.10","118.17","107.68","4,300,600"
"Sep 1, 2021","113.86","120.72","100.58","103.22","94.06","4,157,200"
"Aug 1, 2021","109.60","119.76","100.90","118.34","107.84","5,039,700"
"Jul 1, 2021","84.74","109.21","83.47","108.74","99.09","6,016,900"
"Jun 1, 2021","84.60","88.33","77.68","84.96","77.42","5,185,300"
"May 1, 2021","79.88","86.68","77.01","83.48","76.07","4,890,600"
"Apr 1, 2021","76.58","82.00","75.16","79.81","72.73","3,571,100"
"Mar 1, 2021","86.72","88.23","67.01","74.99","68.34","8,182,400"
"Feb 1, 2021","75.11","93.84","74.86","83.28","75.89","8,920,000"
"Jan 1, 2021","68.43","83.72","68.14","74.19","67.61","6,671,900"
"Dec 21, 2020","0.54 Dividend","0.54 Dividend","0.54 Dividend","0.54 Dividend","0.54 Dividend","0.54 Dividend"
"Dec 1, 2020","55.71","65.95","54.83","65.82","59.45","4,218,000"
"Nov 1, 2020","40.51","56.29","40.48","55.12","49.78","2,984,400"
"Oct 1, 2020","38.47","42.36","36.50","40.29","36.39","3,192,900"
"Sep 1, 2020","41.35","41.89","36.43","37.71","34.06","5,185,000"
"Aug 1, 2020","40.67","44.32","40.40","41.03","37.06","3,768,700"
"Jul 1, 2020","34.54","41.53","34.35","40.06","36.18","2,639,700"
"Jun 1, 2020","33.95","38.67","33.25","34.13","30.83","1,282,700"
"May 1, 2020","31.00","34.55","29.60","33.79","30.52","466,400"
"Apr 15, 2020","1:3 Stock Splits","1:3 Stock Splits","1:3 Stock Splits","1:3 Stock Splits","1:3 Stock Splits","1:3 Stock Splits"
"Apr 1, 2020","27.57","31.44","27.09","31.36","28.32","605,500"
"Mar 1, 2020","33.60","35.31","23.91","28.14","25.42","1,483,633"
"Feb 1, 2020","36.54","41.28","31.89","32.94","29.75","1,216,734"
"Jan 1, 2020","40.86","44.40","36.93","37.05","33.46","1,478,630"
"Dec 23, 2019","0.65 Dividend","0.65 Dividend","0.65 Dividend","0.65 Dividend","0.65 Dividend","0.65 Dividend"
"Dec 1, 2019","37.68","40.89","36.75","40.29","35.79","1,078,633"
"Nov 1, 2019","37.50","39.51","36.99","37.80","33.58","580,202"
"Oct 1, 2019","37.89","38.34","36.30","37.23","33.07","695,300"
"Sep 1, 2019","36.78","41.25","36.42","37.89","33.66","1,079,000"
"Aug 1, 2019","41.01","42.15","35.34","36.60","32.51","1,893,601"
"Jul 1, 2019","45.75","46.35","41.01","41.25","36.64","1,760,101"
"Jun 1, 2019","44.76","46.35","42.87","45.57","40.48","2,759,067"
"May 1, 2019","43.02","46.95","40.02","45.24","40.19","7,206,464"
"Apr 1, 2019","47.91","49.50","42.81","42.99","38.19","404,468"
"Mar 1, 2019","47.97","48.90","45.39","47.16","41.89","598,169"
"Feb 1, 2019","43.62","49.62","42.45","47.85","42.51","638,066"
"Jan 1, 2019","40.14","44.91","39.96","43.83","38.94","756,634"
"Dec 20, 2018","5.06 Dividend","5.06 Dividend","5.06 Dividend","5.06 Dividend","5.06 Dividend","5.06 Dividend"
"Dec 1, 2018","57.30","57.69","39.15","40.68","32.33","415,034"
"Nov 1, 2018","54.66","60.45","53.55","55.44","44.07","515,134"
"Oct 1, 2018","61.14","61.50","50.25","53.34","42.40","431,502"
"Sep 1, 2018","59.79","62.28","55.23","60.51","48.10","386,368"
"Aug 1, 2018","65.37","65.37","57.78","60.24","47.88","573,099"
"Jul 1, 2018","68.19","71.49","65.64","66.12","52.56","388,735"
"Jun 1, 2018","77.28","77.82","67.59","69.33","55.11","661,634"
"May 1, 2018","81.57","84.27","75.57","76.98","61.19","673,233"
"Apr 1, 2018","83.25","85.86","78.51","81.90","65.10","561,068"
"Mar 1, 2018","89.52","92.04","81.33","83.46","66.34","804,034"
"Feb 1, 2018","91.59","93.90","79.29","90.15","71.66","1,589,699"
